precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado,acceso_movilidad_reducida,provincia
USD 800.000, $ 60.000,DOBLAS 955,"Caballito, Capital Federal",50,49,2,1,1,4 años,Frente,NO,Muy luminoso,,,,,,,,True,,,,,,,True,True,,,,True,True,,,True,,True,,,,,,,True,True,,True,,True,True,True,True,,True,Ciudad Autonoma de Buenos Aires
USD 700.000, $ 235.000,MANUEL UGARTE 2400. Entre Esquina ciudad de la paz,"Belgrano, Capital Federal",65,59,3,2,2,19 años,Frente,S,,1,,,True,,,,True,,,,,,,,True,,,,True,,,,,,True,,True,,True,,,,,,,,True,,,,,,Ciudad Autonoma de Buenos Aires
USD 700.000,,Mendoza ,"Villa Urquiza, Capital Federal",74,74,2,2,1,40 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 550.000, $ 78.000,French 3031,"Recoleta, Capital Federal",41,37,2,1,1,12 años,,N,Muy luminoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 550.000, $ 65.000,Malabia al 100,"Villa Crespo, Capital Federal",64,58,3,1,2,A estrenar,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 500.000, $ 80.000,DEL LIBERTADOR AVDA. 6710. Entre Congreso avda. y Quesada,"Belgrano, Capital Federal",42,42,2,1,1,40 años,Lateral,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 449.000, $ 150.000,FEDERICO LACROZE 1600,"Belgrano C, Belgrano",130,130,4,2,3,5 años,Frente,N,Muy luminoso,1,1,,True,,,,,,,,,,,True,True,,,,True,True,,,,,True,True,True,,True,,,,True,,True,True,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 435.000, $ 200.000,Jeronimo salguero 1854,"Palermo, Capital Federal",100,92,4,2,3,16 años,Contrafrente,NE,Muy luminoso,1,1,,True,,,,True,,True,,True,True,,,,,True,True,True,True,True,True,,,True,,True,,True,,True,,,,True,,True,,True,,,,Ciudad Autonoma de Buenos Aires
USD 400.000, $ 103.000,Burela al 2100,"Villa Urquiza, Capital Federal",41,38,2,1,1,28 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 400.000, $ 75.000,av las heras 3800. Entre Ugarteche y Republica arabe siria,"Palermo, Capital Federal",48,26,1,1,,14 años,Frente,O,,,,,True,,True,,,,,,,,,,,,,,,,,,True,,True,,,,,,,True,,True,True,,,,,,True,,Ciudad Autonoma de Buenos Aires
USD 400.000,,Charcas 3036,"Recoleta, Capital Federal",38,35,1,1,,10 años,Contrafrente,NE,Muy luminoso,1,,,True,,True,,,,True,,True,,True,True,True,,True,True,True,True,,,True,,,,,,,,,,,,,,,,,,True,,Ciudad Autonoma de Buenos Aires
USD 390.000, $ 93.000,UGARTECHE 3100,"Palermo Chico, Palermo",45,45,2,1,1,25 años,Frente,SO,Muy luminoso,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 300.000, $ 43.300,Boyaca 1100,"Flores, Capital Federal",38,33,1,1,,6 años,Frente,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,Ciudad Autonoma de Buenos Aires
USD 150.000, $ 140.000,Thames 2313,"Palermo Soho, Palermo",53,33,1,1,1,10 años,,,Luminoso,,,,True,,True,,True,,True,True,True,,True,,True,,True,,True,True,True,True,True,True,True,,True,,,,,True,True,,,,True,,True,,True,True,Ciudad Autonoma de Buenos Aires
USD 125.000, $ 170.000,Guido ,"Recoleta, Capital Federal",40,37,1,1,,15 años,,,Luminoso,,,,True,,True,True,True,,True,,,,True,,,,,,True,True,True,True,,,True,,,,,,,True,,True,,,True,,True,True,True,True,Ciudad Autonoma de Buenos Aires
