precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,cantidad_de_cocheras,cantidad_de_toiletes,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,lavavajillas,quincho,sum,sauna,termotanque,vigilancia,ascensor,caja_fuerte,internet,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,acceso_movilidad_reducida,provincia,limpieza_de_ropa,equipamiento_de_cocina,disposicion_Contrafrente,disposicion_Frente,disposicion_Interno,disposicion_Lateral,orientacion_E,orientacion_N,orientacion_NE,orientacion_NO,orientacion_O,orientacion_S,orientacion_SE,orientacion_SO,luminosidad_Luminoso,luminosidad_Muy luminoso,luminosidad_Poco luminoso,estado_general_Bueno,estado_general_Excelente,estado_general_Muy bueno,precio_m2,precio_m2_medio_localidad,precio_medio_localidad,precio_m2_medio_provincia,precio_medio_provincia
420,0,La Paz al 1100,"Abasto, Rosario",80,0,4,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.25,4.61628759007958,217.39473684210526,4.8891969966785105,306.135959339263
420,0,Corrientes 2179,"Abasto, Rosario",105,73,6,1,3,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.0,4.61628759007958,217.39473684210526,4.8891969966785105,306.135959339263
350,0,Urquiza 1046 6to,"Abasto, Rosario",75,75,7,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.666666666666667,4.61628759007958,217.39473684210526,4.8891969966785105,306.135959339263
340,50,Cerrito 807 rosario,"Abasto, Rosario",65,50,3,1,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,Santa Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.230769230769231,4.61628759007958,217.39473684210526,4.8891969966785105,306.135959339263
320,0,San Martin al 2100,"Abasto, Rosario",60,60,3,2,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333333333,4.61628759007958,217.39473684210526,4.8891969966785105,306.135959339263
310,94,Mitre al 1700,"Abasto, Rosario",60,56,4,1,2,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.166666666666667,4.61628759007958,217.39473684210526,4.8891969966785105,306.135959339263
300,0,Mariano Moreno  S Rosario Santa Fe,"Abasto, Rosario",64,64,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6875,4.61628759007958,217.39473684210526,4.8891969966785105,306.135959339263
300,0,Pasco 1349,"Abasto, Rosario",74,74,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.054054054054054,4.61628759007958,217.39473684210526,4.8891969966785105,306.135959339263
260,0,Paraguay  2300 09°,"Abasto, Rosario",57,52,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56140350877193,4.61628759007958,217.39473684210526,4.8891969966785105,306.135959339263
260,44,Cerrito al 961 Piso 5,"Abasto, Rosario",47,43,2,1,1,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,Santa Fe,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.531914893617022,4.61628759007958,217.39473684210526,4.8891969966785105,306.135959339263
