provincia,localidad,precio_medio,precio_m2_medio
0,"Balvanera, Capital Federal",200.0,8.0
CABA,"Abasto, Capital Federal",419.15384615384613,9.467667707680475
CABA,"Agronomía, Capital Federal",391.6666666666667,7.927731092436975
CABA,"Almagro Norte, Almagro",423.4375,9.053954959185505
CABA,"Almagro Sur, Almagro",417.77777777777777,8.899756058024069
CABA,"Almagro, Capital Federal",407.87421383647796,8.817048957307373
CABA,"Balvanera, Capital Federal",395.5032258064516,7.938950645026721
CABA,"Barracas, Capital Federal",521.6071428571429,8.109634004026638
CABA,"Barrio Chino, Belgrano",456.0,10.523840861207052
CABA,"Barrio Norte, Capital Federal",539.8011204481793,9.22814612698702
CABA,"Barrio Parque General Belgrano, Belgrano",395.0,9.88888888888889
CABA,"Barrio Parque, Palermo",2550.0,15.748684210526315
CABA,"Belgrano C, Belgrano",606.7272727272727,10.530904424156509
CABA,"Belgrano Chico, Belgrano",632.7272727272727,12.17992029417922
CABA,"Belgrano R, Belgrano",609.9866666666667,10.626201518510259
CABA,"Belgrano, Capital Federal",697.1306818181819,10.827998426754457
CABA,"Boedo, Capital Federal",374.0,8.352558287274844
CABA,"Botánico, Palermo",764.8360655737705,11.73385587340797
CABA,"Caballito Norte, Caballito",409.27777777777777,8.749194835709341
CABA,"Caballito Sur, Caballito",396.95,8.892235183243914
CABA,"Caballito, Capital Federal",449.4375,8.795428611727843
CABA,"Centro / Microcentro, Capital Federal",388.31944444444446,8.723281287648838
CABA,"Chacarita, Capital Federal",443.19354838709677,9.454827048478684
CABA,"Cid Campeador, Caballito",536.6666666666666,8.391325917006908
CABA,"Coghlan, Capital Federal",474.2972972972973,10.311496573057438
CABA,"Colegiales, Capital Federal",557.0258620689655,10.660202582850406
CABA,"Congreso, Capital Federal",356.17021276595744,7.53091089350998
CABA,"Constitución, Capital Federal",294.5,7.250431519227606
CABA,"Distrito Quartier, Retiro",886.6666666666666,14.470295055821373
CABA,"Flores Norte, Flores",411.875,7.227254034909285
CABA,"Flores Sur, Flores",340.0,7.15346934254829
CABA,"Flores, Capital Federal",353.14285714285717,8.084753100411959
CABA,"Floresta Norte, Floresta",601.0,8.050630252100841
CABA,"Floresta Sur, Floresta",277.0,6.944459459459459
CABA,"Floresta, Capital Federal",374.65909090909093,7.432778119598891
CABA,"La Boca, Capital Federal",336.3636363636364,7.992682575670158
CABA,"La Paternal, Capital Federal",342.11538461538464,7.775177382851137
CABA,"Las Cañitas, Palermo",747.5189873417721,11.863808358361956
CABA,"Liniers, Capital Federal",314.5238095238095,6.630015223264835
CABA,"Lomas de Núñez, Núñez",588.0,10.911797409161816
CABA,"Mataderos, Capital Federal",458.1818181818182,6.846074391078323
CABA,"Monserrat, Capital Federal",373.5625,8.417004105217307
CABA,"Monte Castro, Capital Federal",345.5263157894737,7.941831312531906
CABA,"Núñez, Capital Federal",635.4228855721393,11.318204749936767
CABA,"Once, Capital Federal",443.7037037037037,8.077644019899232
CABA,"Palermo Chico, Palermo",1315.5813953488373,14.533673842277107
CABA,"Palermo Hollywood, Palermo",806.452380952381,14.063983026280544
CABA,"Palermo Nuevo, Palermo",991.3,14.489887972660318
CABA,"Palermo Soho, Palermo",600.9848484848485,12.177459510701741
CABA,"Palermo Soho, Recoleta",800.0,10.0
CABA,"Palermo Viejo, Palermo",527.3333333333334,9.866592241101172
CABA,"Palermo, Capital Federal",627.8805031446541,11.254522710384721
CABA,"Parque Avellaneda, Capital Federal",360.0,8.251179450337935
CABA,"Parque Centenario, Capital Federal",531.3333333333334,8.39753739692364
CABA,"Parque Chacabuco, Capital Federal",415.0,8.156589159851672
CABA,"Parque Chas, Capital Federal",391.75,9.146561065765317
CABA,"Parque Patricios, Capital Federal",359.0625,7.936578305155469
CABA,"Parque Rivadavia, Caballito",459.61538461538464,7.840396324378142
CABA,"Pompeya, Capital Federal",275.0,11.30952380952381
CABA,"Primera Junta, Caballito",503.93333333333334,8.26134983665107
CABA,"Puerto Madero, Capital Federal",2746.9660574412533,23.116578556823473
CABA,"Puerto Retiro, Retiro",830.0,11.019269108084899
CABA,"Recoleta, Capital Federal",881.0857946554149,10.683012205244315
CABA,"Retiro, Capital Federal",1021.1224489795918,10.836436622678095
CABA,"Saavedra, Capital Federal",442.53521126760563,9.316201627174362
CABA,"San Cristobal, Capital Federal",336.7857142857143,8.286975455886965
CABA,"San Nicolás, Capital Federal",342.94117647058823,8.413423555479609
CABA,"San Telmo, Capital Federal",456.3370786516854,9.228001518390661
CABA,"Tribunales, Capital Federal",400.90909090909093,7.524631431863903
CABA,"Velez Sarsfield, Capital Federal",405.0,7.886206583015094
CABA,"Versalles, Capital Federal",380.0,6.394642857142856
CABA,"Villa Crespo, Capital Federal",448.6465517241379,9.421536318116802
CABA,"Villa Devoto, Capital Federal",477.1014492753623,8.179976678498118
CABA,"Villa General Mitre, Capital Federal",346.6666666666667,8.391034606765656
CABA,"Villa Lugano, Capital Federal",346.25,6.380329858497666
CABA,"Villa Luro, Capital Federal",399.70588235294116,7.73221597467133
CABA,"Villa Ortuzar, Capital Federal",375.96153846153845,8.445346920488086
CABA,"Villa Pueyrredón, Capital Federal",398.8,8.155666002481997
CABA,"Villa Real, Capital Federal",350.0,7.275862068965518
CABA,"Villa Santa Rita, Capital Federal",355.0,7.859106395912204
CABA,"Villa Urquiza, Capital Federal",429.32183908045977,9.384264046135526
CABA,"Villa del Parque, Capital Federal",410.3157894736842,7.850191181064893
