precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado.1,acceso_movilidad_reducida,provincia,porcentaje_cubierto,densidad_dormitorios,densidad_ambientes,seguridad,climatizacion,precio_m2,precio_m2_cubierto,precio_m2_medio_localidad,precio_m2_cubierto_medio_localidad,precio_medio_localidad,precio_m2_medio_prov,precio_m2_cubierto_medio_prov,precio_medio_prov,precio_relativo_localidad,precio_calculado,precio_cubierto_calculado
30,0,Italia  2500 - Cochera Nº03,"Abasto, Rosario",12,12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,1,0.08333333333333333,0.08333333333333333,0,0,2.5,2.5,4.9218261533299605,5.308442647660309,217.68,7.632470574733462,8.711410816835214,389.3595146871009,-2.7106444214035017,59.06191383995953,63.701311771923706
35,0,Corrientes 2200 - Cochera Nº 08,"Abasto, Rosario",15,15,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,1,0.06666666666666667,0.06666666666666667,0,0,2.3333333333333335,2.3333333333333335,4.9218261533299605,5.308442647660309,217.68,7.632470574733462,8.711410816835214,389.3595146871009,-2.7106444214035017,73.82739229994941,79.62663971490463
35,0,Corrientes 2200 - Cochera Nº 07,"Abasto, Rosario",15,15,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,1,0.06666666666666667,0.06666666666666667,0,0,2.3333333333333335,2.3333333333333335,4.9218261533299605,5.308442647660309,217.68,7.632470574733462,8.711410816835214,389.3595146871009,-2.7106444214035017,73.82739229994941,79.62663971490463
75,0,Riobamba  1349,"Abasto, Rosario",25,25,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Santa Fe,1,0.04,0.04,0,0,3.0,3.0,4.9218261533299605,5.308442647660309,217.68,7.632470574733462,8.711410816835214,389.3595146871009,-2.7106444214035017,123.04565383324902,132.7110661915077
95,0,Ituzaingó  al 1500,"Abasto, Rosario",22,22,1,1,1,25,Interno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,1,0.045454545454545456,0.045454545454545456,0,0,4.318181818181818,4.318181818181818,4.9218261533299605,5.308442647660309,217.68,7.632470574733462,8.711410816835214,389.3595146871009,-2.7106444214035017,108.28017537325913,116.7857382485268
120,0,Paraguay al 1800,"Abasto, Rosario",20,20,1,1,1,5,Contrafrente,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Santa Fe,1,0.05,0.05,0,0,6.0,6.0,4.9218261533299605,5.308442647660309,217.68,7.632470574733462,8.711410816835214,389.3595146871009,-2.7106444214035017,98.43652306659921,106.16885295320617
120,0,Corrientes  al 1700,"Abasto, Rosario",18,18,1,1,1,38,Contrafrente,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,1,0.05555555555555555,0.05555555555555555,0,0,6.666666666666667,6.666666666666667,4.9218261533299605,5.308442647660309,217.68,7.632470574733462,8.711410816835214,389.3595146871009,-2.7106444214035017,88.59287075993929,95.55196765788556
130,0,Mitre 1747,"Abasto, Rosario",25,25,1,1,1,14,Contrafrente,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,1,0.04,0.04,0,0,5.2,5.2,4.9218261533299605,5.308442647660309,217.68,7.632470574733462,8.711410816835214,389.3595146871009,-2.7106444214035017,123.04565383324902,132.7110661915077
130,0,Buenos Aires  al 2500,"Abasto, Rosario",30,30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,1,0.03333333333333333,0.03333333333333333,0,0,4.333333333333333,4.333333333333333,4.9218261533299605,5.308442647660309,217.68,7.632470574733462,8.711410816835214,389.3595146871009,-2.7106444214035017,147.65478459989882,159.25327942980925
130,0,Cochabamba 1333,"Abasto, Rosario",28,26,1,1,1,5,Frente,N,Muy luminoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santa Fe,0.9285714285714286,0.03571428571428571,0.03571428571428571,0,0,4.642857142857143,5.0,4.9218261533299605,5.308442647660309,217.68,7.632470574733462,8.711410816835214,389.3595146871009,-2.7106444214035017,137.8111322932389,138.01950883916803
