localidad,precio_medio,precio_m2_medio,provincia
"Abasto, Rosario",213.27027027027026,4.611898821373807,Santa Fe
"Alberdi, Córdoba",259.43617021276594,5.083239580017382,Cordoba
"Almagro Norte, Almagro",425.8333333333333,9.069458422580668,CABA
"Almagro, Capital Federal",422.9065420560748,8.973140582393887,CABA
"Alta Córdoba, Córdoba",318.77777777777777,4.929914199675921,Cordoba
"Balvanera, Capital Federal",402.0740740740741,7.9814141576324555,CABA
"Barrio Norte, Capital Federal",565.025,9.402395503230755,CABA
"Belgrano C, Belgrano",651.0704225352113,10.976438001056513,CABA
"Belgrano R, Belgrano",603.2574257425742,10.839774061805759,CABA
"Belgrano, Capital Federal",740.8678090575276,11.286572224235787,CABA
"Boedo, Capital Federal",366.70588235294116,8.443966708466926,CABA
"Botánico, Palermo",888.6016260162602,12.597208148237215,CABA
"Caballito, Capital Federal",466.1467391304348,8.993493480552475,CABA
"Centro / Microcentro, Capital Federal",406.327731092437,9.058333313082189,CABA
"Centro, Córdoba",288.5076923076923,4.763838516575253,Cordoba
"Ciudad de Santa Fe, Santa Fe",429.8787878787879,4.834382722407065,Santa Fe
"Colegiales, Capital Federal",592.5932203389831,10.960144172337783,CABA
"Congreso, Capital Federal",362.258064516129,7.7707516806569235,CABA
"Córdoba, Córdoba",578.0546875,4.680605597309573,Cordoba
"Distrito Centro, Rosario",249.2829268292683,5.025231964734495,Santa Fe
"Echesortu, Rosario",209.37,4.866011190985898,Santa Fe
"Flores, Capital Federal",362.2307692307692,8.131270186270076,CABA
"General Paz, Córdoba",340.0833333333333,6.421029630495261,Cordoba
"Las Cañitas, Palermo",816.5405405405405,12.460691643751057,CABA
"Martin, Rosario",227.2153846153846,5.063071583276666,Santa Fe
"Monserrat, Capital Federal",402.8196721311475,8.814184291377291,CABA
"Nueva Córdoba, Córdoba",340.8715203426124,6.4648360270080625,Cordoba
"Núñez, Capital Federal",673.0130293159609,11.651037486256033,CABA
"Palermo Chico, Palermo",1365.4583333333333,14.930048988341783,CABA
"Palermo Hollywood, Palermo",823.3541666666666,14.394255678614307,CABA
"Palermo Nuevo, Palermo",1129.8902439024391,15.927968813090663,CABA
"Palermo Soho, Palermo",645.4368932038835,12.417025775442896,CABA
"Palermo, Capital Federal",694.4403755868544,11.80504656855467,CABA
"Parque Chacabuco, Capital Federal",413.0,8.000576011410319,CABA
"Pichincha, Rosario",217.6271186440678,5.288404004619347,Santa Fe
"Puerto Madero, Capital Federal",2731.266875981162,24.24658236619558,CABA
"Recoleta, Capital Federal",914.043439716312,11.124143616052812,CABA
"Retiro, Capital Federal",1123.515625,11.082600712672976,CABA
"Rosario, Santa Fe",215.68434343434345,4.725453912867564,Santa Fe
"Saavedra, Capital Federal",451.0,9.519970140840908,CABA
"San Cristobal, Capital Federal",334.92753623188406,8.28155577827872,CABA
"San Nicolás, Capital Federal",389.1463414634146,8.739147271491698,CABA
"San Telmo, Capital Federal",497.87417218543044,9.986200692199612,CABA
"Villa Crespo, Capital Federal",463.4909638554217,9.729160063068866,CABA
"Villa Devoto, Capital Federal",541.1734693877551,8.28175776931389,CABA
"Villa Pueyrredón, Capital Federal",400.38461538461536,8.265948767879355,CABA
"Villa Urquiza, Capital Federal",442.7142857142857,9.553670955966894,CABA
"Villa del Parque, Capital Federal",414.0,7.807425407289297,CABA
