localidad,precio_medio,precio_m2_medio,provincia
"Abasto, Capital Federal",418.1785714285714,9.524525479402666,Buenos Aires
"Agronomía, Capital Federal",391.6666666666667,7.927731092436976,Buenos Aires
"Almagro Norte, Almagro",425.8333333333333,9.069458422580668,Buenos Aires
"Almagro Sur, Almagro",414.1666666666667,8.602315714437774,Buenos Aires
"Almagro, Capital Federal",422.9065420560748,8.973140582393887,Buenos Aires
"Balvanera, Capital Federal",403.1489361702128,7.981315296768798,Buenos Aires
"Barracas, Capital Federal",507.9268292682927,8.2717196773247,Buenos Aires
"Barrio Chino, Belgrano",507.27272727272725,12.1787602294692,Buenos Aires
"Barrio Norte, Capital Federal",565.025,9.402395503230755,Buenos Aires
"Barrio Parque General Belgrano, Belgrano",1096.6666666666667,12.544973544973544,Buenos Aires
"Barrio Parque, Palermo",3283.333333333333,16.551416496729946,Buenos Aires
"Belgrano C, Belgrano",651.0704225352113,10.976438001056511,Buenos Aires
"Belgrano Chico, Belgrano",702.1785714285714,12.117752737517137,Buenos Aires
"Belgrano R, Belgrano",603.2574257425742,10.83977406180576,Buenos Aires
"Belgrano, Capital Federal",740.8678090575276,11.286572224235789,Buenos Aires
"Boedo, Capital Federal",366.7058823529412,8.443966708466926,Buenos Aires
"Botánico, Palermo",888.6016260162602,12.597208148237216,Buenos Aires
"Caballito Norte, Caballito",427.1860465116279,8.824002314011722,Buenos Aires
"Caballito Sur, Caballito",404.1428571428572,8.764760759067851,Buenos Aires
"Caballito, Capital Federal",466.1467391304348,8.993493480552475,Buenos Aires
"Centro / Microcentro, Capital Federal",406.327731092437,9.058333313082189,Buenos Aires
"Chacarita, Capital Federal",480.18,9.599905637374292,Buenos Aires
"Cid Campeador, Caballito",536.6666666666666,8.391325917006908,Buenos Aires
"Coghlan, Capital Federal",489.2619047619048,10.4422660767834,Buenos Aires
"Colegiales, Capital Federal",592.5932203389831,10.960144172337785,Buenos Aires
"Congreso, Capital Federal",362.258064516129,7.7707516806569235,Buenos Aires
