precio,expensas,direccion,localidad,superficie_total,superficie_cubierta,cantidad_de_ambiente,cantidad_de_banios,cantidad_de_dormitorios,antiguedad,disposicion,orientacion,luminosidad,cantidad_de_cocheras,cantidad_de_toiletes,estado_general,aire_acondicionado,alarma,amoblado,caldera,calefacción,cancha_deportes,cocina_equipada,frigobar,lavarropas,lavavajillas,microondas,quincho,sum,sauna,secarropas,termotanque,vigilancia,ascensor,caja_fuerte,internet,laundry,servicio_de_limpieza,balcon,dependencia_servicio,dormitorio_en_suite,jardin,lavadero,patio,terraza,apto_profesional,gimnasio,hidromasaje,parrilla,permite_mascotas,pileta,sala_de_juegos,solarium,uso_comercial,amoblado,acceso_movilidad_reducida,provincia
$ 29.500,,adolfo orma 1793,"Cerro de las Rosas, Córdoba",10,10,,,,1 años,,,,,,,True,,True,,,,,,,,,,,,,,,,,True,,True,,,,,,,,True,,,,,,,,,True,,Cordoba
$ 30.000,,Buenos Aires 868,"Nueva Córdoba, Córdoba",45,41,3,1,1,9 años,Frente,E,Muy luminoso,,,,True,,True,,True,,True,True,,,True,,,,,True,True,True,,True,,True,True,,,,,,,,,,,True,,,,,True,,Cordoba
$ 30.000,,Ibarbalz 752,"General Paz, Córdoba",55,55,3,1,1,5 años,Frente,N,Muy luminoso,,,,True,,True,,True,,True,,True,,True,True,,,,,True,True,,True,,True,True,,,,,,True,,True,,True,True,,,True,,True,,Cordoba
$ 30.000,,Ovidio Lagos 253,"General Paz, Córdoba",55,55,2,1,1,3 años,Contrafrente,NE,Muy luminoso,,,,True,,True,,,,True,,,,True,True,True,,,,True,True,,True,,True,True,,,,,,True,,,,True,True,,,,,True,,Cordoba
$ 30.000,,Parana 671,"Nueva Córdoba, Córdoba",42,37,2,1,1,15 años,Frente,O,Muy luminoso,,,,True,,True,,True,,True,,,,True,,,,,,True,True,,True,,True,True,,,,,,,,,,,,,,,,True,,Cordoba
$ 30.000,,duarte quiros 291,"Centro, Córdoba",,45,,1,,10 años,,,,,,,True,,True,,,,True,,,,True,,,,,,,True,,True,,True,,,,,,,,,,,,,,,,,True,,Cordoba
$ 30.000,,25 DE MAYO ,"La Cumbre, Córdoba",100,70,3,2,2,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
$ 30.000,,V. DEL CARMEN,"La Cumbre, Córdoba",,30,1,1,1,A estrenar,,,,1,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,Cordoba
$ 32.000,,Caseros 1700,"Alberdi, Córdoba",20,20,1,,,1 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
USD 35,,Velez Sarsfield al 1300,"Nueva Córdoba, Córdoba",122,122,4,2,2,10 años,Frente,E,Muy luminoso,,1,,True,,True,,True,,,,,,,,,,,,True,,,,True,,True,,True,,True,,,True,,,True,,,,,,True,,Cordoba
$ 33.000,,OLGA OROZCO 3215,"Nuevo Poeta Lugones, Córdoba",12,12,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cordoba
